Port,Mode,AllowedVlan,AccessVlan,Status,Speed
topology/pod-1/node-1104/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/23]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/24]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/25]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/26]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/27]/phys,trunk,,unknown,down,10G
